ax, ay, az, gx, gy, gz, temp
-5128,-5168,2736,19293,-13074,15205,268438473
-7244,-1400,8092,29544,-15600,4952,268438473
-5196,-324,16952,32661,-16155,-6139,268438473
-7500,-456,27896,23386,-6592,-9187,268438473
-6968,-2468,32472,2774,-837,-16484,268438473
-2312,-608,21764,-7681,93,-23975,268438473
4544,-4008,24152,-14796,3791,-23191,268438473
11936,-7760,19188,-19599,8862,-12515,268438473
11792,-9256,12004,-18414,15924,86,268438473
7308,-7360,4508,-14427,9645,10856,268438473
8,-6664,4244,-4639,-3486,13632,268438473
-2324,-6772,8172,5707,-3291,6377,268438473
-1140,-4820,12404,8518,969,1545,268438473
-1368,-4744,12712,6154,-310,-381,268438473
-44,-6092,16088,2746,-2431,-93,268438473
620,-7160,17160,2811,-1621,-200,268438473
-20,-7072,17436,2572,-57,73,268438473
656,-6560,18036,-899,42,652,268438473
-216,-5812,14588,-1373,-491,106,268438473
204,-6232,14184,-663,-1274,5,268438473
784,-6372,14940,-40,-762,358,268438473
472,-6220,15140,-1250,1428,799,268438473
340,-6396,14772,-1848,1619,695,268438473
-416,-6816,15244,-1730,2756,1069,268438473
-1240,-5964,15524,-3183,3373,271,268438473
-2340,-5596,14180,-5045,3113,-2410,268438473
-1500,-6676,13152,-4282,719,-5726,268438473
1760,-7816,14052,-2631,-3615,-5232,268438473
3080,-8576,14012,-560,-1227,-1074,268438473
2452,-8260,14456,1365,1847,2723,268438473
-48,-6400,15032,337,4527,4255,268438473
-3156,-5768,13280,-1849,2800,546,268438473
-2928,-6624,10008,-1226,-2918,-6378,268438473
-68,-7608,8488,5382,-8880,-9764,268438473
3372,-6416,8168,14688,-10745,-11421,268438473
10336,-6736,12576,19703,-12598,-7071,268438473
13668,-6716,17572,20656,-4008,5680,268438473
8468,-4024,20872,17722,3288,18737,268438473
828,-1392,22188,9169,-1120,21863,268438473
-2104,-64,24664,399,-12573,18997,268438473
-3316,-752,26052,-7160,-7342,16889,268438473
-7672,-432,23792,-14351,4187,10045,268438473
-7496,-824,20448,-22771,5864,909,268438473
-3944,-1876,13044,-27174,7009,-7273,268438473
-2528,-4972,3688,-21273,289,-14166,268438473
1916,-8092,4,-4581,-3800,-19941,268438473
8776,-7640,2752,14664,-1486,-19827,268438473
15860,-7632,8256,23785,3480,-9500,268438473
13380,-6192,13804,23626,6153,4871,268438473
7784,-4164,19048,17229,-1843,12867,268438473
3412,-3616,24624,8160,-4566,13402,268438473
1740,-2184,24220,-794,-4243,13707,268438473
-1456,-2464,24080,-7221,-1141,14702,268438473
-6864,-1508,22380,-15266,1830,9759,268438473
-6344,-1736,19524,-21378,5076,-197,268438473
-5420,-2900,12020,-20586,8066,-10228,268438473
-1860,-5952,5508,-8923,2565,-18620,268438473
5876,-6528,4916,3096,-313,-20859,268438473
13180,-8460,6684,10306,-767,-12593,268438473
13568,-8888,10312,13989,832,39,268438473
10496,-7348,14560,11988,-2488,8975,268438473
